Date,Open,High,Low,Close,Volume,Adj Close
2015-11-11,51.830002,51.830002,51.830002,51.830002,000,51.830002
2015-11-10,52.040001,52.040001,52.040001,52.040001,000,52.040001
2015-11-09,51.939999,51.939999,51.939999,51.939999,000,51.939999
2015-11-06,52.450001,52.450001,52.450001,52.450001,000,52.450001
2015-11-05,52.439999,52.439999,52.439999,52.439999,000,52.439999
2015-11-04,52.490002,52.490002,52.490002,52.490002,000,52.490002
2015-11-03,52.639999,52.639999,52.639999,52.639999,000,52.639999
2015-11-02,52.50,52.50,52.50,52.50,000,52.50
2015-10-30,51.830002,51.830002,51.830002,51.830002,000,51.830002
2015-10-29,52.049999,52.049999,52.049999,52.049999,000,52.049999
2015-10-28,52.130001,52.130001,52.130001,52.130001,000,52.130001
2015-10-27,51.419998,51.419998,51.419998,51.419998,000,51.419998
2015-10-26,51.610001,51.610001,51.610001,51.610001,000,51.610001
2015-10-23,51.720001,51.720001,51.720001,51.720001,000,51.720001
2015-10-22,51.200001,51.200001,51.200001,51.200001,000,51.200001
2015-10-21,50.439999,50.439999,50.439999,50.439999,000,50.439999
2015-10-20,50.810001,50.810001,50.810001,50.810001,000,50.810001
2015-10-19,50.880001,50.880001,50.880001,50.880001,000,50.880001
2015-10-16,50.860001,50.860001,50.860001,50.860001,000,50.860001
2015-10-15,50.669998,50.669998,50.669998,50.669998,000,50.669998
2015-10-14,49.900002,49.900002,49.900002,49.900002,000,49.900002
2015-10-13,50.150002,50.150002,50.150002,50.150002,000,50.150002
2015-10-12,50.540001,50.540001,50.540001,50.540001,000,50.540001
2015-10-09,50.50,50.50,50.50,50.50,000,50.50
2015-10-08,50.450001,50.450001,50.450001,50.450001,000,50.450001
2015-10-07,50.009998,50.009998,50.009998,50.009998,000,50.009998
2015-10-06,49.549999,49.549999,49.549999,49.549999,000,49.549999
2015-10-05,49.75,49.75,49.75,49.75,000,49.75
2015-10-02,48.84,48.84,48.84,48.84,000,48.84
2015-10-01,48.130001,48.130001,48.130001,48.130001,000,48.130001
2015-09-30,48.060001,48.060001,48.060001,48.060001,000,48.060001
2015-09-29,47.18,47.18,47.18,47.18,000,47.18
2015-09-28,47.169998,47.169998,47.169998,47.169998,000,47.169998
2015-09-25,48.450001,48.450001,48.450001,48.450001,000,48.450001
2015-09-24,48.549999,48.549999,48.549999,48.549999,000,48.549999
2015-09-23,48.970001,48.970001,48.970001,48.970001,000,48.737002
2015-09-22,49.080002,49.080002,49.080002,49.080002,000,48.846479
2015-09-21,49.720001,49.720001,49.720001,49.720001,000,49.483433
2015-09-18,49.549999,49.549999,49.549999,49.549999,000,49.31424
2015-09-17,50.34,50.34,50.34,50.34,000,50.100482
2015-09-16,50.41,50.41,50.41,50.41,000,50.170149
2015-09-15,49.98,49.98,49.98,49.98,000,49.742195
2015-09-14,49.360001,49.360001,49.360001,49.360001,000,49.125146
2015-09-11,49.560001,49.560001,49.560001,49.560001,000,49.324195
2015-09-10,49.32,49.32,49.32,49.32,000,49.085335
2015-09-09,49.09,49.09,49.09,49.09,000,48.85643
2015-09-08,49.75,49.75,49.75,49.75,000,49.513289
2015-09-04,48.549999,48.549999,48.549999,48.549999,000,48.318998
2015-09-03,49.25,49.25,49.25,49.25,000,49.015668
2015-09-02,49.18,49.18,49.18,49.18,000,48.946002
2015-09-01,48.32,48.32,48.32,48.32,000,48.090093
2015-08-31,49.759998,49.759998,49.759998,49.759998,000,49.52324
2015-08-28,50.150002,50.150002,50.150002,50.150002,000,49.911388
2015-08-27,50.049999,50.049999,50.049999,50.049999,000,49.811861
2015-08-26,48.869999,48.869999,48.869999,48.869999,000,48.637475
2015-08-25,47.150002,47.150002,47.150002,47.150002,000,46.925662
2015-08-24,47.740002,47.740002,47.740002,47.740002,000,47.512855
2015-08-21,49.700001,49.700001,49.700001,49.700001,000,49.463528
2015-08-20,51.200001,51.200001,51.200001,51.200001,000,50.956391
2015-08-19,52.34,52.34,52.34,52.34,000,52.090966
2015-08-18,52.790001,52.790001,52.790001,52.790001,000,52.538826
2015-08-17,52.959999,52.959999,52.959999,52.959999,000,52.708015
2015-08-14,52.630001,52.630001,52.630001,52.630001,000,52.379588
2015-08-13,52.41,52.41,52.41,52.41,000,52.160633
2015-08-12,52.470001,52.470001,52.470001,52.470001,000,52.220349
2015-08-11,52.43,52.43,52.43,52.43,000,52.180538
2015-08-10,52.919998,52.919998,52.919998,52.919998,000,52.668205
2015-08-07,52.25,52.25,52.25,52.25,000,52.001394
2015-08-06,52.41,52.41,52.41,52.41,000,52.160633
2015-08-05,52.849998,52.849998,52.849998,52.849998,000,52.598538
2015-08-04,52.66,52.66,52.66,52.66,000,52.409444
2015-08-03,52.77,52.77,52.77,52.77,000,52.518921
2015-07-31,52.939999,52.939999,52.939999,52.939999,000,52.68811
2015-07-30,53.00,53.00,53.00,53.00,000,52.747826
2015-07-29,52.970001,52.970001,52.970001,52.970001,000,52.71797
2015-07-28,52.59,52.59,52.59,52.59,000,52.339777
2015-07-27,51.959999,51.959999,51.959999,51.959999,000,51.712773
2015-07-24,52.299999,52.299999,52.299999,52.299999,000,52.051156
2015-07-23,52.880001,52.880001,52.880001,52.880001,000,52.628398
2015-07-22,53.189999,53.189999,53.189999,53.189999,000,52.936921
2015-07-21,53.27,53.27,53.27,53.27,000,53.016542
2015-07-20,53.509998,53.509998,53.509998,53.509998,000,53.255398
2015-07-17,53.509998,53.509998,53.509998,53.509998,000,53.255398
2015-07-16,53.509998,53.509998,53.509998,53.509998,000,53.255398
2015-07-15,53.110001,53.110001,53.110001,53.110001,000,52.857303
2015-07-14,53.200001,53.200001,53.200001,53.200001,000,52.946875
2015-07-13,52.950001,52.950001,52.950001,52.950001,000,52.698065
2015-07-10,52.380001,52.380001,52.380001,52.380001,000,52.130777
2015-07-09,51.740002,51.740002,51.740002,51.740002,000,51.493823
2015-07-08,51.619999,51.619999,51.619999,51.619999,000,51.374391
2015-07-07,52.48,52.48,52.48,52.48,000,52.2303
2015-07-06,52.189999,52.189999,52.189999,52.189999,000,51.941679
2015-07-02,52.380001,52.380001,52.380001,52.380001,000,52.130777
2015-07-01,52.419998,52.419998,52.419998,52.419998,000,52.170584
2015-06-30,52.09,52.09,52.09,52.09,000,51.842156
2015-06-29,51.919998,51.919998,51.919998,51.919998,000,51.672963
2015-06-26,53.040001,53.040001,53.040001,53.040001,000,52.787637
2015-06-25,53.07,53.07,53.07,53.07,000,52.817493
2015-06-24,53.43,53.43,53.43,53.43,000,52.962799
2015-06-23,53.860001,53.860001,53.860001,53.860001,000,53.389039
2015-06-22,53.799999,53.799999,53.799999,53.799999,000,53.329562
2015-06-19,53.490002,53.490002,53.490002,53.490002,000,53.022275
2015-06-18,53.740002,53.740002,53.740002,53.740002,000,53.270089
2015-06-17,53.200001,53.200001,53.200001,53.200001,000,52.73481
2015-06-16,53.110001,53.110001,53.110001,53.110001,000,52.645597
2015-06-15,52.810001,52.810001,52.810001,52.810001,000,52.348221
2015-06-12,53.049999,53.049999,53.049999,53.049999,000,52.58612
2015-06-11,53.389999,53.389999,53.389999,53.389999,000,52.923148
2015-06-10,53.27,53.27,53.27,53.27,000,52.804198
2015-06-09,52.639999,52.639999,52.639999,52.639999,000,52.179706
2015-06-08,52.639999,52.639999,52.639999,52.639999,000,52.179706
2015-06-05,52.990002,52.990002,52.990002,52.990002,000,52.526648
2015-06-04,52.990002,52.990002,52.990002,52.990002,000,52.526648
2015-06-03,53.459999,53.459999,53.459999,53.459999,000,52.992535
2015-06-02,53.290001,53.290001,53.290001,53.290001,000,52.824024
2015-06-01,53.32,53.32,53.32,53.32,000,52.85376
2015-05-29,53.209999,53.209999,53.209999,53.209999,000,52.744721
2015-05-28,53.529999,53.529999,53.529999,53.529999,000,53.061923
2015-05-27,53.59,53.59,53.59,53.59,000,53.1214
2015-05-26,53.099998,53.099998,53.099998,53.099998,000,52.635683
2015-05-22,53.639999,53.639999,53.639999,53.639999,000,53.170962
2015-05-21,53.75,53.75,53.75,53.75,000,53.28
2015-05-20,53.639999,53.639999,53.639999,53.639999,000,53.170962
2015-05-19,53.669998,53.669998,53.669998,53.669998,000,53.200698
2015-05-18,53.709999,53.709999,53.709999,53.709999,000,53.240349
2015-05-15,53.490002,53.490002,53.490002,53.490002,000,53.022275
2015-05-14,53.439999,53.439999,53.439999,53.439999,000,52.97271
2015-05-13,52.880001,52.880001,52.880001,52.880001,000,52.417609
2015-05-12,52.889999,52.889999,52.889999,52.889999,000,52.42752
2015-05-11,53.029999,53.029999,53.029999,53.029999,000,52.566295
2015-05-08,53.25,53.25,53.25,53.25,000,52.784372
2015-05-07,52.59,52.59,52.59,52.59,000,52.130144
2015-05-06,52.369999,52.369999,52.369999,52.369999,000,51.912066
2015-05-05,52.529999,52.529999,52.529999,52.529999,000,52.070667
2015-05-04,53.18,53.18,53.18,53.18,000,52.714985
2015-05-01,53.02,53.02,53.02,53.02,000,52.556384
2015-04-30,52.48,52.48,52.48,52.48,000,52.021105
2015-04-29,53.07,53.07,53.07,53.07,000,52.605946
2015-04-28,53.290001,53.290001,53.290001,53.290001,000,52.824024
2015-04-27,53.16,53.16,53.16,53.16,000,52.695159
2015-04-24,53.439999,53.439999,53.439999,53.439999,000,52.97271
2015-04-23,53.380001,53.380001,53.380001,53.380001,000,52.913237
2015-04-22,53.23,53.23,53.23,53.23,000,52.764547
2015-04-21,52.990002,52.990002,52.990002,52.990002,000,52.526648
2015-04-20,53.040001,53.040001,53.040001,53.040001,000,52.57621
2015-04-17,52.57,52.57,52.57,52.57,000,52.110318
2015-04-16,53.200001,53.200001,53.200001,53.200001,000,52.73481
2015-04-15,53.240002,53.240002,53.240002,53.240002,000,52.774462
2015-04-14,52.950001,52.950001,52.950001,52.950001,000,52.486996
2015-04-13,52.880001,52.880001,52.880001,52.880001,000,52.417609
2015-04-10,53.09,53.09,53.09,53.09,000,52.625772
2015-04-09,52.84,52.84,52.84,52.84,000,52.377958
2015-04-08,52.650002,52.650002,52.650002,52.650002,000,52.18962
2015-04-07,52.459999,52.459999,52.459999,52.459999,000,52.001279
2015-04-06,52.599998,52.599998,52.599998,52.599998,000,52.140055
2015-04-02,52.259998,52.259998,52.259998,52.259998,000,51.803027
2015-04-01,52.07,52.07,52.07,52.07,000,51.61469
2015-03-31,52.259998,52.259998,52.259998,52.259998,000,51.803027
2015-03-30,52.669998,52.669998,52.669998,52.669998,000,52.209442
2015-03-27,52.02,52.02,52.02,52.02,000,51.565128
2015-03-26,51.849998,51.849998,51.849998,51.849998,000,51.396613
2015-03-25,51.959999,51.959999,51.959999,51.959999,000,51.505651
2015-03-24,52.779999,52.779999,52.779999,52.779999,000,52.318481
