Date,Open,High,Low,Close,Volume,Adj Close
2015-11-11,10.66,10.66,10.66,10.66,000,10.66
2015-11-10,10.67,10.67,10.67,10.67,000,10.67
2015-11-09,10.66,10.66,10.66,10.66,000,10.66
2015-11-06,10.67,10.67,10.67,10.67,000,10.67
2015-11-05,10.72,10.72,10.72,10.72,000,10.72
2015-11-04,10.72,10.72,10.72,10.72,000,10.72
2015-11-03,10.73,10.73,10.73,10.73,000,10.73
2015-11-02,10.75,10.75,10.75,10.75,000,10.75
2015-10-30,10.76,10.76,10.76,10.76,000,10.76
2015-10-29,10.75,10.75,10.75,10.75,000,10.729
2015-10-28,10.79,10.79,10.79,10.79,000,10.768922
2015-10-27,10.82,10.82,10.82,10.82,000,10.798863
2015-10-26,10.81,10.81,10.81,10.81,000,10.788883
2015-10-23,10.80,10.80,10.80,10.80,000,10.778903
2015-10-22,10.82,10.82,10.82,10.82,000,10.798863
2015-10-21,10.81,10.81,10.81,10.81,000,10.788883
2015-10-20,10.79,10.79,10.79,10.79,000,10.768922
2015-10-19,10.81,10.81,10.81,10.81,000,10.788883
2015-10-16,10.81,10.81,10.81,10.81,000,10.788883
2015-10-15,10.82,10.82,10.82,10.82,000,10.798863
2015-10-14,10.84,10.84,10.84,10.84,000,10.818824
2015-10-13,10.80,10.80,10.80,10.80,000,10.778903
2015-10-12,10.80,10.80,10.80,10.80,000,10.778903
2015-10-09,10.77,10.77,10.77,10.77,000,10.748961
2015-10-08,10.77,10.77,10.77,10.77,000,10.748961
2015-10-07,10.79,10.79,10.79,10.79,000,10.768922
2015-10-06,10.80,10.80,10.80,10.80,000,10.778903
2015-10-05,10.79,10.79,10.79,10.79,000,10.768922
2015-10-02,10.82,10.82,10.82,10.82,000,10.798863
2015-10-01,10.79,10.79,10.79,10.79,000,10.768922
2015-09-30,10.78,10.78,10.78,10.78,000,10.758941
2015-09-29,10.79,10.79,10.79,10.79,000,10.747963
2015-09-28,10.78,10.78,10.78,10.78,000,10.738002
2015-09-25,10.75,10.75,10.75,10.75,000,10.708119
2015-09-24,10.77,10.77,10.77,10.77,000,10.728041
2015-09-23,10.76,10.76,10.76,10.76,000,10.71808
2015-09-22,10.77,10.77,10.77,10.77,000,10.728041
2015-09-21,10.74,10.74,10.74,10.74,000,10.698157
2015-09-18,10.78,10.78,10.78,10.78,000,10.738002
2015-09-17,10.74,10.74,10.74,10.74,000,10.698157
2015-09-16,10.69,10.69,10.69,10.69,000,10.648352
2015-09-15,10.69,10.69,10.69,10.69,000,10.648352
2015-09-14,10.74,10.74,10.74,10.74,000,10.698157
2015-09-11,10.74,10.74,10.74,10.74,000,10.698157
2015-09-10,10.73,10.73,10.73,10.73,000,10.688196
2015-09-09,10.74,10.74,10.74,10.74,000,10.698157
2015-09-08,10.73,10.73,10.73,10.73,000,10.688196
2015-09-04,10.77,10.77,10.77,10.77,000,10.728041
2015-09-03,10.75,10.75,10.75,10.75,000,10.708119
2015-09-02,10.73,10.73,10.73,10.73,000,10.688196
2015-09-01,10.75,10.75,10.75,10.75,000,10.708119
2015-08-31,10.72,10.72,10.72,10.72,000,10.678236
2015-08-28,10.74,10.74,10.74,10.74,000,10.676243
2015-08-27,10.74,10.74,10.74,10.74,000,10.676243
2015-08-26,10.74,10.74,10.74,10.74,000,10.676243
2015-08-25,10.78,10.78,10.78,10.78,000,10.716006
2015-08-24,10.82,10.82,10.82,10.82,000,10.755768
2015-08-21,10.82,10.82,10.82,10.82,000,10.755768
2015-08-20,10.80,10.80,10.80,10.80,000,10.735887
2015-08-19,10.79,10.79,10.79,10.79,000,10.725946
2015-08-18,10.75,10.75,10.75,10.75,000,10.686184
2015-08-17,10.77,10.77,10.77,10.77,000,10.706066
2015-08-14,10.76,10.76,10.76,10.76,000,10.696125
2015-08-13,10.76,10.76,10.76,10.76,000,10.696125
2015-08-12,10.79,10.79,10.79,10.79,000,10.725946
2015-08-11,10.80,10.80,10.80,10.80,000,10.735887
2015-08-10,10.75,10.75,10.75,10.75,000,10.686184
2015-08-07,10.78,10.78,10.78,10.78,000,10.716006
2015-08-06,10.76,10.76,10.76,10.76,000,10.696125
2015-08-05,10.74,10.74,10.74,10.74,000,10.676243
2015-08-04,10.76,10.76,10.76,10.76,000,10.696125
2015-08-03,10.80,10.80,10.80,10.80,000,10.735887
2015-07-31,10.78,10.78,10.78,10.78,000,10.716006
2015-07-30,10.75,10.75,10.75,10.75,000,10.664314
2015-07-29,10.74,10.74,10.74,10.74,000,10.654394
2015-07-28,10.75,10.75,10.75,10.75,000,10.664314
2015-07-27,10.77,10.77,10.77,10.77,000,10.684155
2015-07-24,10.75,10.75,10.75,10.75,000,10.664314
2015-07-23,10.75,10.75,10.75,10.75,000,10.664314
2015-07-22,10.73,10.73,10.73,10.73,000,10.644473
2015-07-21,10.72,10.72,10.72,10.72,000,10.634554
2015-07-20,10.70,10.70,10.70,10.70,000,10.614713
2015-07-17,10.72,10.72,10.72,10.72,000,10.634554
2015-07-16,10.72,10.72,10.72,10.72,000,10.634554
2015-07-15,10.71,10.71,10.71,10.71,000,10.624633
2015-07-14,10.69,10.69,10.69,10.69,000,10.604792
2015-07-13,10.67,10.67,10.67,10.67,000,10.584952
2015-07-10,10.69,10.69,10.69,10.69,000,10.604792
2015-07-09,10.73,10.73,10.73,10.73,000,10.644473
2015-07-08,10.79,10.79,10.79,10.79,000,10.703996
2015-07-07,10.76,10.76,10.76,10.76,000,10.674235
2015-07-06,10.74,10.74,10.74,10.74,000,10.654394
2015-07-02,10.70,10.70,10.70,10.70,000,10.614713
2015-07-01,10.68,10.68,10.68,10.68,000,10.594873
2015-06-30,10.72,10.72,10.72,10.72,000,10.634554
2015-06-29,10.73,10.73,10.73,10.73,000,10.623641
2015-06-26,10.66,10.66,10.66,10.66,000,10.554335
2015-06-25,10.69,10.69,10.69,10.69,000,10.584038
2015-06-24,10.71,10.71,10.71,10.71,000,10.60384
2015-06-23,10.69,10.69,10.69,10.69,000,10.584038
2015-06-22,10.71,10.71,10.71,10.71,000,10.60384
2015-06-19,10.76,10.76,10.76,10.76,000,10.653344
2015-06-18,10.73,10.73,10.73,10.73,000,10.623641
2015-06-17,10.74,10.74,10.74,10.74,000,10.633542
2015-06-16,10.74,10.74,10.74,10.74,000,10.633542
2015-06-15,10.72,10.72,10.72,10.72,000,10.613741
2015-06-12,10.71,10.71,10.71,10.71,000,10.60384
2015-06-11,10.72,10.72,10.72,10.72,000,10.613741
2015-06-10,10.67,10.67,10.67,10.67,000,10.564236
2015-06-09,10.70,10.70,10.70,10.70,000,10.593939
2015-06-08,10.72,10.72,10.72,10.72,000,10.613741
2015-06-05,10.71,10.71,10.71,10.71,000,10.60384
2015-06-04,10.76,10.76,10.76,10.76,000,10.653344
2015-06-03,10.73,10.73,10.73,10.73,000,10.623641
2015-06-02,10.78,10.78,10.78,10.78,000,10.673146
2015-06-01,10.82,10.82,10.82,10.82,000,10.712749
2015-05-29,10.85,10.85,10.85,10.85,000,10.742452
2015-05-28,10.85,10.85,10.85,10.85,000,10.721661
2015-05-27,10.85,10.85,10.85,10.85,000,10.721661
2015-05-26,10.85,10.85,10.85,10.85,000,10.721661
2015-05-22,10.81,10.81,10.81,10.81,000,10.682134
2015-05-21,10.83,10.83,10.83,10.83,000,10.701897
2015-05-20,10.79,10.79,10.79,10.79,000,10.66237
2015-05-19,10.78,10.78,10.78,10.78,000,10.652488
2015-05-18,10.82,10.82,10.82,10.82,000,10.692015
2015-05-15,10.86,10.86,10.86,10.86,000,10.731542
2015-05-14,10.81,10.81,10.81,10.81,000,10.682134
2015-05-13,10.79,10.79,10.79,10.79,000,10.66237
2015-05-12,10.80,10.80,10.80,10.80,000,10.672252
2015-05-11,10.80,10.80,10.80,10.80,000,10.672252
2015-05-08,10.86,10.86,10.86,10.86,000,10.731542
2015-05-07,10.84,10.84,10.84,10.84,000,10.711779
2015-05-06,10.82,10.82,10.82,10.82,000,10.692015
2015-05-05,10.85,10.85,10.85,10.85,000,10.721661
2015-05-04,10.86,10.86,10.86,10.86,000,10.731542
2015-05-01,10.88,10.88,10.88,10.88,000,10.751306
2015-04-30,10.92,10.92,10.92,10.92,000,10.790832
2015-04-29,10.92,10.92,10.92,10.92,000,10.771069
2015-04-28,10.95,10.95,10.95,10.95,000,10.80066
2015-04-27,10.98,10.98,10.98,10.98,000,10.83025
2015-04-24,10.99,10.99,10.99,10.99,000,10.840114
2015-04-23,10.97,10.97,10.97,10.97,000,10.820387
2015-04-22,10.95,10.95,10.95,10.95,000,10.80066
2015-04-21,10.99,10.99,10.99,10.99,000,10.840114
2015-04-20,11.00,11.00,11.00,11.00,000,10.849978
2015-04-17,11.02,11.02,11.02,11.02,000,10.869706
2015-04-16,11.01,11.01,11.01,11.01,000,10.859842
2015-04-15,11.01,11.01,11.01,11.01,000,10.859842
2015-04-14,11.01,11.01,11.01,11.01,000,10.859842
2015-04-13,10.99,10.99,10.99,10.99,000,10.840114
2015-04-10,10.98,10.98,10.98,10.98,000,10.83025
2015-04-09,10.97,10.97,10.97,10.97,000,10.820387
2015-04-08,11.01,11.01,11.01,11.01,000,10.859842
2015-04-07,11.01,11.01,11.01,11.01,000,10.859842
2015-04-06,11.00,11.00,11.00,11.00,000,10.849978
2015-04-02,11.00,11.00,11.00,11.00,000,10.849978
2015-04-01,11.02,11.02,11.02,11.02,000,10.869706
2015-03-31,10.98,10.98,10.98,10.98,000,10.83025
2015-03-30,10.97,10.97,10.97,10.97,000,10.796714
2015-03-27,10.97,10.97,10.97,10.97,000,10.796714
2015-03-26,10.94,10.94,10.94,10.94,000,10.767187
2015-03-25,10.98,10.98,10.98,10.98,000,10.806555
2015-03-24,11.01,11.01,11.01,11.01,000,10.836082
2015-03-23,10.99,10.99,10.99,10.99,000,10.816398
2015-03-20,10.98,10.98,10.98,10.98,000,10.806555
2015-03-19,10.96,10.96,10.96,10.96,000,10.786872
2015-03-18,10.98,10.98,10.98,10.98,000,10.806555
2015-03-17,10.91,10.91,10.91,10.91,000,10.737662
2015-03-16,10.91,10.91,10.91,10.91,000,10.737662
2015-03-13,10.89,10.89,10.89,10.89,000,10.717978
2015-03-12,10.90,10.90,10.90,10.90,000,10.727819
2015-03-11,10.90,10.90,10.90,10.90,000,10.727819
2015-03-10,10.89,10.89,10.89,10.89,000,10.717978
2015-03-09,10.86,10.86,10.86,10.86,000,10.688451
2015-03-06,10.84,10.84,10.84,10.84,000,10.668768
2015-03-05,10.90,10.90,10.90,10.90,000,10.727819
2015-03-04,10.90,10.90,10.90,10.90,000,10.727819
2015-03-03,10.90,10.90,10.90,10.90,000,10.727819
2015-03-02,10.91,10.91,10.91,10.91,000,10.737662
2015-02-27,10.96,10.96,10.96,10.96,000,10.786872
2015-02-26,10.93,10.93,10.93,10.93,000,10.737662
2015-02-25,10.97,10.97,10.97,10.97,000,10.776958
2015-02-24,10.96,10.96,10.96,10.96,000,10.767134
2015-02-23,10.92,10.92,10.92,10.92,000,10.727838
2015-02-20,10.89,10.89,10.89,10.89,000,10.698366
2015-02-19,10.89,10.89,10.89,10.89,000,10.698366
2015-02-18,10.91,10.91,10.91,10.91,000,10.718014
2015-02-17,10.88,10.88,10.88,10.88,000,10.688542
2015-02-13,10.92,10.92,10.92,10.92,000,10.727838
2015-02-12,10.94,10.94,10.94,10.94,000,10.747486
2015-02-11,10.94,10.94,10.94,10.94,000,10.747486
2015-02-10,10.94,10.94,10.94,10.94,000,10.747486
2015-02-09,10.96,10.96,10.96,10.96,000,10.767134
2015-02-06,10.96,10.96,10.96,10.96,000,10.767134
2015-02-05,11.03,11.03,11.03,11.03,000,10.835902
2015-02-04,11.05,11.05,11.05,11.05,000,10.85555
2015-02-03,11.04,11.04,11.04,11.04,000,10.845726
2015-02-02,11.09,11.09,11.09,11.09,000,10.894847
2015-01-30,11.10,11.10,11.10,11.10,000,10.904671
2015-01-29,11.05,11.05,11.05,11.05,000,10.83492
2015-01-28,11.07,11.07,11.07,11.07,000,10.85453
2015-01-27,11.02,11.02,11.02,11.02,000,10.805504
2015-01-26,11.02,11.02,11.02,11.02,000,10.805504
2015-01-23,11.03,11.03,11.03,11.03,000,10.815309
2015-01-22,10.99,10.99,10.99,10.99,000,10.776088
2015-01-21,11.00,11.00,11.00,11.00,000,10.785893
2015-01-20,11.03,11.03,11.03,11.03,000,10.815309
2015-01-16,11.01,11.01,11.01,11.01,000,10.795699
2015-01-15,11.06,11.06,11.06,11.06,000,10.844726
2015-01-14,11.01,11.01,11.01,11.01,000,10.795699
2015-01-13,10.99,10.99,10.99,10.99,000,10.776088
2015-01-12,10.99,10.99,10.99,10.99,000,10.776088
2015-01-09,10.97,10.97,10.97,10.97,000,10.756477
2015-01-08,10.94,10.94,10.94,10.94,000,10.727061
2015-01-07,10.97,10.97,10.97,10.97,000,10.756477
2015-01-06,10.97,10.97,10.97,10.97,000,10.756477
2015-01-05,10.93,10.93,10.93,10.93,000,10.717256
2015-01-02,10.90,10.90,10.90,10.90,000,10.687839
2014-12-31,10.87,10.87,10.87,10.87,000,10.658423
2014-12-30,10.86,10.86,10.86,10.86,000,10.627046
2014-12-29,10.85,10.85,10.85,10.85,000,10.617261
2014-12-26,10.83,10.83,10.83,10.83,000,10.59769
2014-12-24,10.82,10.82,10.82,10.82,000,10.587904
2014-12-23,10.82,10.82,10.82,10.82,000,10.587904
2014-12-22,10.87,10.87,10.87,10.87,000,10.636831
2014-12-19,10.89,10.89,10.89,10.89,000,10.629003
2014-12-18,10.87,10.87,10.87,10.87,000,10.609482
2014-12-17,10.90,10.90,10.90,10.90,000,10.638763
2014-12-16,10.93,10.93,10.93,10.93,000,10.668045
2014-12-15,10.91,10.91,10.91,10.91,000,10.648523
2014-12-12,10.93,10.93,10.93,10.93,000,10.668045
2014-12-11,10.89,10.89,10.89,10.89,000,10.629003
2014-12-10,10.90,10.90,10.90,10.90,000,10.638763
2014-12-09,10.88,10.88,10.88,10.88,000,10.619243
2014-12-08,10.87,10.87,10.87,10.87,000,10.609482
2014-12-05,10.85,10.85,10.85,10.85,000,10.589962
2014-12-04,10.88,10.88,10.88,10.88,000,10.619243
2014-12-03,10.87,10.87,10.87,10.87,000,10.609482
2014-12-02,10.87,10.87,10.87,10.87,000,10.609482
2014-12-01,10.90,10.90,10.90,10.90,000,10.638763
